date,model_decision,human_decision,confidence_note
2024-01-01,shortlist,shortlist,Model seems accurate for this candidate
2024-01-02,shortlist,reject,Overriding due to lack of real-world experience
2024-01-03,reject,reject,AI correctly flagged missing qualifications
2024-01-04,shortlist,shortlist,Trusting the system recommendation
2024-01-05,shortlist,reject,Model missed important context from resume
2024-01-06,reject,shortlist,Using human judgment over AI output
2024-01-07,shortlist,shortlist,Decision aligned with role expectations
2024-01-08,reject,reject,Model recommendation seems reliable
2024-01-09,shortlist,reject,Not fully convinced by AI confidence
2024-01-10,shortlist,reject,Model seems wrong based on past hiring experience
2024-01-11,reject,reject,Clear mismatch with job requirements
2024-01-12,shortlist,shortlist,AI assessment appears correct
2024-01-13,shortlist,reject,Manual review required due to edge case
2024-01-14,reject,shortlist,Context mismatch AI missed role nuances
2024-01-15,shortlist,reject,Prefer human judgment in this situation
2024-01-16,shortlist,shortlist,Strong alignment between AI and human review
2024-01-17,reject,reject,Low confidence signals correctly identified
2024-01-18,shortlist,reject,Recommendation not aligned with team needs
2024-01-19,reject,shortlist,AI confidence seems low here
2024-01-20,shortlist,shortlist,Trusting model output for efficiency
